path	size_lines	mtime
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.Junk-Runner-bevy.pi-files.txt	2385	44	2026-06-11 12:20:01.496876535 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.Junk-Runner-bevy.pi-untracked.txt	0	0	2026-06-11 12:20:01.496876535 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.kiki-sassy-desktop-announcer.pi-files.txt	0	0	2026-06-11 12:20:01.613878536 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.kiki-sassy-desktop-announcer.pi-untracked.txt	0	0	2026-06-11 12:20:01.614878553 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.one-mil-girls.pi-files.txt	2006	34	2026-06-11 12:20:01.503876655 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.one-mil-girls.pi-untracked.txt	0	0	2026-06-11 12:20:01.503876655 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.pully-fully-pull-based-fleet-reconciler.pi-files.txt	1018	17	2026-06-11 12:20:01.489876415 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.pully-fully-pull-based-fleet-reconciler.pi-untracked.txt	0	0	2026-06-11 12:20:01.490876432 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.rust-ai-web-auto.pi-files.txt	1618	27	2026-06-11 12:20:01.531877134 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.rust-ai-web-auto.pi-untracked.txt	0	0	2026-06-11 12:20:01.531877134 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.video-factory.pi-files.txt	0	0	2026-06-11 12:20:01.587878092 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.video-factory.pi-untracked.txt	0	0	2026-06-11 12:20:01.588878109 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.video-uploader.pi-files.txt	0	0	2026-06-11 12:20:01.580877972 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.video-uploader.pi-untracked.txt	0	0	2026-06-11 12:20:01.581877989 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.youtube-video-uploader.pi-files.txt	0	0	2026-06-11 12:20:01.601878331 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.youtube-video-uploader.pi-untracked.txt	0	0	2026-06-11 12:20:01.602878348 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/ai-auto-repo-rot-scanner-todo-agent.pi-files.diff	0	0	2026-06-11 12:20:01.560877630 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/ai-auto-repo-rot-scanner-todo-agent.pi-untracked.diff	0	0	2026-06-11 12:20:01.561877647 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/ai-auto-writer.pi-files.diff	0	0	2026-06-11 12:20:01.576877903 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/ai-auto-writer.pi-untracked.diff	0	0	2026-06-11 12:20:01.577877920 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/avid.pi-files.diff	0	0	2026-06-11 12:20:01.597878263 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/avid.pi-untracked.diff	0	0	2026-06-11 12:20:01.598878280 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/before.ai-auto-repo-rot-scanner-todo-agent.pi-files.txt	180	3	2026-06-11 12:13:32.348166124 +0100
